Name;Direction;Width;Left bound;Right bound;Type;Type definition;Default value;Description
QP_out;out;5;4;0;;;;
chroma_out;out;1;0;0;;;;
clk;in;1;0;0;;;;
data_dct_out;out;32;31;0;;;;
data_idct_in;in;1;0;0;;;;
data_quant_in;in;1;0;0;;;;
dct_ready4col_in;in;1;0;0;;;;
debug_out;out;1;0;0;;;;
hibi_av_in;in;1;0;0;;;;
hibi_av_out;out;1;0;0;;;;
hibi_comm_in;in;3;2;0;;;;
hibi_comm_out;out;3;2;0;;;;
hibi_data_in;in;32;31;0;;;;
hibi_data_out;out;32;31;0;;;;
hibi_empty_in;in;1;0;0;;;;
hibi_full_in;in;1;0;0;;;;
hibi_re_out;out;1;0;0;;;;
hibi_we_out;out;1;0;0;;;;
idct_ready4col_out;out;1;0;0;;;;
intra_out;out;1;0;0;;;;
loadQP_out;out;1;0;0;;;;
quant_ready4col_out;out;1;0;0;;;;
rst_n;in;1;0;0;;;;
wr_dct_out;out;1;0;0;;;;
wr_idct_in;in;1;0;0;;;;
wr_quant_in;in;1;0;0;;;;
